"","registro","price_usd","address","beds","baths","half_baths","sqft","lat","long"
"1151","2110-02c21-86",225000,"13412 Lot 2 195th Jim Falls, WI 54748",NA,NA,NA,NA,45.0757,-91.2681
"1156","2110-02c21-87",225000,"13412 Lot 1 195th Jim Falls, WI 54748",NA,NA,NA,NA,45.0403,-91.2804
"1161","2110-02c21-88",70000,"1050 Pumphouse Road Chippewa Falls, WI 54729",NA,NA,NA,NA,44.9434,-91.3716
"1164","2110-02c21-89",114900,"242 N Oshkosh Street - Boyd, WI 54726",NA,NA,NA,2200,44.9526,-91.0444
"1170","2110-02c21-90",84900,"113 S 2nd Street - Cornell, WI 54732",NA,NA,NA,2400,45.1668,-91.1501
"1175","2110-02c21-91",49900,"00 27th Street Bloomer, WI 54724",NA,NA,NA,NA,45.1521,-91.6263
"1178","2110-02c21-92",99900,"23177 County Hwy X Cadott, WI 54727",NA,NA,NA,NA,44.9293,-91.2021
"1181","2110-02c21-93",240000,"303-305 W Willow Street 2 Chippewa Falls, WI 54729",NA,NA,NA,2668,44.9356,-91.3989
"1189","2110-02c21-94",69900,"Xxx river road Stanley, WI 54768",NA,NA,NA,NA,44.8431,-90.971
"1192","2110-02c21-95",69999,"0 30th Ave Cadott, WI 54727",NA,NA,NA,NA,44.8861,-91.1448
"1195","2110-02c21-96",140000,"14967 360th Street Stanley, WI 54768",NA,NA,NA,NA,45.056797,-90.939624
"1198","2110-02c21-97",224900,"000 Cty X Cadott, WI 54727",NA,NA,NA,NA,44.9446,-91.1361
"1202","2110-02c21-98",24900,"W14227 McCann Shores New Auburn, WI 54757",NA,NA,NA,NA,45.302,-91.4047
