registro,price_usd,address,beds,baths,half_baths,sqft,lat,long
2110-01vva-31,350000,"Venta de Departamentos en Nogales Sonora, Tenemos la mejor opción para invertir",2,1,NA,4305.564167,31.296451,-110.953976
2110-01vva-32,18953,Casa en Venta en FUNDO LEGAL CENTRO,2,1,NA,893.4045646,31.32377,-110.94475
2110-01vva-33,20449,Se vende departamento en Fovisste 2,2,1,NA,NA,31.32819,-110.966015
2110-01vva-34,20449,Casa en Venta en Jardines de la Monta?a,2,1,NA,624.3068042,31.29491,-110.96615
2110-01vva-35,27471,CASA EN VENTA EN FRACC JARDINES DE LA MONTANA NOGALES SONORA,2,1,NA,NA,31.29365,-110.962584
2110-01vva-36,27471,"SE VENDE CASA EN JARDINES DE LA MONTA?A ,NOGALES SONORA",2,1,NA,592.0150729,31.29496,-110.96644
2110-01vva-37,23192,Casa en Venta en La Muralla,2,2,NA,828.8211021,31.28341,-110.97473
2110-01vva-38,23192,Casa en Venta en La Muralla,2,2,NA,828.8211021,31.28335,-110.97471
2110-01vva-39,23192,Casa en Venta en La Muralla,2,2,NA,828.8211021,31.28335,-110.97471
2110-01vva-40,23441,Casa en Venta en La Muralla,2,2,NA,807.2932813,31.28328,-110.97465
2110-01vva-41,32218,Casa en Venta en La Muralla,2,2,NA,947.2241167,31.28354,-110.97411
2110-01vva-42,9975,Departamento en Venta en Jardines Del Bosque,1,NA,NA,NA,31.291338,-110.97003
2110-01vva-43,14575,Departamento en Venta en JARDINES DEL BOSQUE,2,1,NA,NA,31.29303,-110.9637
2110-01vva-44,17955,"DEPARTAMENTO DE DOS RECAMARAS, EN TERCER NIVEL",2,1,NA,NA,31.29251,-110.96344
2110-01vva-45,19900,VENTA DEPARTAMENTO EN JARDINES DEL BOSQUE LAS PRADERAS NOGALES SONORA,2,1,NA,538.1955208,31.29265,-110.96422
2110-01vva-46,19930,VENTA DE CASA EN JARDINES DEL BOSQUE NOGALES SONORA Y UN EXCELENTE PRECIO,2,1,NA,861.1128333,31.29156,-110.960294
2110-01vva-47,19930,"SE VENDE DEPARTAMENTO EN PIRUL , JARDINES DEL BOSQUE ,NOGALES SONORA",2,1,NA,527.4316104,31.29283,-110.96399
2110-01vva-48,19930,DEPARTAMENTO EN VENTA JARDINES DEL BOSQUE NOGALES SONORA,1,1,NA,527.4316104,31.29265,-110.96422
2110-01vva-49,22007,DEPARTAMENTO EN VENTA EN NOGALES SONORA.,2,1,NA,NA,31.29278,-110.96385
2110-01vva-50,22007,Departamento en Venta en Jardines Del Bosque,2,1,NA,861.1128333,31.2927,-110.964
2110-01vva-51,24439,VENTA DE DEPARTAMENTO EN COLONIA JARDINES DEL BOSQUE NOGALES SONORA,1,1,NA,NA,31.29306,-110.96439
2110-01vva-52,24439,VENTA DE DEPARTAMENTO EN JARDINES DEL BOSQUE NOGALES SONORA,2,1,NA,NA,31.2933,-110.96284
2110-01vva-53,29776,VENTA DE DEPARTAMENTO EN FRACC JARDINES DEL BOSQUE NOGALES SONORA,2,1,NA,538.1955208,31.29255,-110.96393
2110-01vva-54,29825,VENTA DE DEPARTAMENTO EN JARDINES DEL BOSQUE NOGALES SONORA,2,1,NA,538.1955208,31.29346,-110.96267
2110-01vva-55,30574,VENTA DE DEPARTAMNETO EN JARDINES DEL BOSQUE NOGALES SONORA,2,1,NA,538.1955208,31.29344,-110.96282
2110-01vva-56,450000,Se vende hermosa propiedad en colonia Kalitea Nogales Sonora,4,4,NA,NA,31.29648,-110.940325
2110-01vva-57,648379,Se vende elegante casa en colonia Kalitea,4,4,NA,NA,31.29519,-110.939415
2110-01vva-58,798005,VIVE CON LUJO Y COMODIDAD EN EL LUGAR MAS EXCLUSIVO DE NOGALES SONORA MEXICO,5,4,NA,6609.040996,31.29678,-110.9388
2110-01vva-59,798005,Se vende casa en Colonia Kalitea,4,4,NA,NA,31.29581,-110.939455
2110-01vva-60,275000,"Hermosa casa-habitación en venta en la mejor zona residencial de la ciudad de Nogales, colonia Ke...",6,NA,NA,4305.564167,31.293931,-110.948765
2110-01vva-61,360000,Se venden departamentos y local comercial en colonia Granja,1,1,NA,NA,31.30027,-110.94762
2110-01vva-62,NA,"De oportunidad! Hermosa casa habitación en venta ubicada en Misión de Anza en la ciudad Nogales, ...",6,NA,NA,NA,31.297971,-110.904806
2110-01vva-63,45387,Casa en Venta en Kino,3,3,NA,1948.267785,31.29538,-110.9318
2110-01vva-64,13865,Casa en Venta en NOGALES CENTRO,2,1,NA,516.6677,31.29085,-110.92897
2110-01vva-65,17585,Casa en Venta en San Carlos,2,2,NA,3229.173125,31.289611,-110.921571
2110-01vva-66,21631,"VENTA DE CASA EN C. EL AGOSTADERO, COL. LOS VIRREYES, (NOGALES, SON.)",2,1,NA,656.5985354,31.29113,-110.92837
2110-01vva-67,21631,VENTA DE CASA LOS VIRREYES NOGALES SONORA A UNMAGNIFICO COSTO,3,2,NA,656.5985354,31.29004,-110.924444
2110-01vva-68,21631,VENTA DE CASA EN COL LOS VIRREYES NOGALES SONORA,2,1,NA,656.5985354,31.29147,-110.92931
2110-01vva-69,21631,CASA EN VENTA COL LOS VIRREYES NOGALES SONORA,3,1,NA,656.5985354,31.29038,-110.925384
2110-01vva-70,21631,SE VENDE CASA EN EL AGOSTADERO LOS VIRREYES SONORA,2,1,NA,656.5985354,31.29087,-110.92944
2110-01vva-71,72250,"CASA EN VENTA EN NOGALES, SONORA.",3,2,NA,2421.879844,31.29054,-110.92126
2110-01vva-72,165000,"Casa ""Los Corrales - Nogales Sonora"". De las mejores ubicaciones en Nogales 533M?????",4,3,NA,5737.164252,31.285981,-110.927155
2110-01vva-73,28250,Casa en Venta en Fracc Nuevo Milenio,2,1,NA,1614.586563,31.2988,-110.96294
2110-01vva-74,134663,Se vende casa en Monte Bello Residencial,3,3,NA,NA,31.32117,-110.965835
2110-01vva-75,314214,Se Vende Casa En Nogales Sonora,6,2,NA,4305.564167,31.283851,-110.958626
2110-01vva-76,24938,villa sonora,6,4,NA,12669.12256,31.26151,-110.95115
2110-01vva-77,44040,Se vende Casa en Nuevo Nogales.,4,1,NA,NA,31.257317,-110.957737
2110-01vva-78,174564,Se vende casa en Fraccionamiento el Raquet,4,3,NA,NA,31.26202,-110.950675
2110-01vva-79,NA,Oportunidad hermosa casa en venta amueblada en nuevo nogales Excelente precio y ubicacion.,3,3,NA,2045.142979,31.26103,-110.95513
2110-01vva-80,19258,Departamento en Venta en SAN CARLOS,2,1,NA,NA,31.27913,-110.9183
2110-01vva-81,22015,VENTA DE CASA EN SAN CARLOS NOGALES SONORA A UN MAGNIFICO PRECIO,3,1,NA,979.5158479,31.27935,-110.911474
2110-01vva-82,22015,SE VENDE CASA EN SAN AGUSTIN SAN CARLOS NOGALES SONORA,3,2,NA,548.9594313,31.28007,-110.91565
2110-01vva-83,22015,CASA EN VENTA COL SAN CARLOS 1RA ETAPA NOGALES SONORA,3,1,NA,548.9594313,31.27767,-110.913105
2110-01vva-84,25691,VENTA DE CASA EN NOGALES SONORA,2,1,NA,645.834625,31.27833,-110.912025
2110-01vva-85,25691,VENTA DE CASA EN NOGALES SONORA,2,1,NA,NA,31.27833,-110.912025
2110-01vva-86,21175,Casa en Venta en San Carlos,2,1,NA,1614.586563,31.27751,-110.92427
2110-01vva-87,90773,Se vende modelo Lucca en Residencial Montebello. Nogales Sonora,3,2,NA,NA,31.3214,-110.964225
2110-01vva-88,197007,Se vende quinta en Ejido Cibuta Nogales Sonora,3,1,NA,NA,31.09182,-110.908074
2110-01vva-89,67332,Se vende casa Colonia Rosarito en Nogales Sonora,3,1,NA,NA,31.30712,-110.926145
2110-01vva-90,22120,SE VENDE CASA EN PASEO DE LOS NOGALES VILLA BONITA SONORA,3,2,NA,NA,31.29744,-110.95972
2110-01vva-91,89776,"Se vende casa en Villa bonita, Nogales Sonora",4,3,NA,NA,31.29692,-110.96093
2110-01vva-92,33820,SE VENDE CASA EN FRESNO GRANDE COL.FRESNOS NOGALES SONORA,3,2,NA,699.6541771,31.27484,-110.95681
2110-01vva-93,33820,CASA EN VENTA COL ZONA INDUSTRIAL NOGALES SONORA,3,1,NA,592.0150729,31.27353,-110.954875
2110-01vva-94,33820,VENTA DE CASA EN COL FRESNOS VII NOGALES SONORA A UN EXCELENTE PRECIO,3,2,NA,645.834625,31.27333,-110.954895
2110-01vva-95,57092,VENTA DE CASA EN RESIDENCIAL EN SONORA DE 2 RECÁMARAS,2,2,NA,NA,31.26635,-110.947615
2110-01vva-96,57092,CASA EN VENTA COL MONARCA RESIDENCIAL NOGALES SONORA,2,2,NA,NA,31.26635,-110.947615
2110-01vva-97,57092,VENTA DE CASA EN RESIDENCIAL EN SONORA DE 2 RECÁMARAS,2,2,NA,NA,31.26635,-110.947615
2111-02c21-1,380000,"127 Vereda Patria Rio Rico, AZ 85648",3,2,NA,1874,31.566555,-111.009207
2111-02c21-2,220000,"962 Via Puebla Rio Rico, AZ 85648",3,2,NA,1403,31.444653,-110.980645
2111-02c21-3,312500,"144 Forrest DR Patagonia, AZ 85624",1,1,NA,912,31.54897,-110.749874
2111-02c21-4,275000,"189 Calle Conquistador Rio Rico, AZ 85648",3,2,NA,1611,31.464257,-110.944097
2111-02c21-5,234900,"922 Paseo Queretaro Rio Rico, AZ 85648",3,2,NA,1620,31.437718,-110.978925
2111-02c21-6,1275000,"3 Libres Ct Tubac, AZ 85646",3,2,1,4318,31.622239,-111.049575
2111-02c21-7,112500,"360 N Adams Street Nogales, AZ 85621",2,1,NA,832,31.338596,-110.92992
2111-02c21-8,275000,"173 Via Casa Rio Rico, AZ 85648",3,2,NA,1731,31.448448,-110.945937
2111-02c21-9,250000,"303 Post Way Tubac, AZ 85646",1,2,NA,1047,31.602967,-111.04929
2111-02c21-10,360000,"501 Post Way Tubac, AZ 85646",3,2,1,1552,31.603045,-111.049702
2111-02c21-11,239000,"1440 Carido Court Rio Rico, AZ 85648",2,2,1,1691,31.513502,-110.999608
2111-02c21-12,147000,"293 W 1St Street Nogales, AZ 85621",NA,NA,NA,1331,31.351755,-110.934354
2111-02c21-13,500000,"76 Circulo Montana Nogales, AZ 85621",3,2,1,3552,31.466675,-110.857071
2111-02c21-14,488000,"1479 W Baffert Place Nogales, AZ 85621",6,4,NA,3244,31.382257,-110.966163
2111-02c21-15,299000,"887 Perla Court Rio Rico, AZ 85648",3,2,NA,1790,31.430887,-110.946999
2111-02c21-16,275000,"139 Camino Embarcadero Rio Rico, AZ 85648",3,2,1,1811,31.54868,-111.003033
2111-02c21-17,250000,"933 Calle Calabasas Rio Rico, AZ 85648",3,2,NA,2276,31.446854,-110.989314
2111-02c21-18,150000,"330 N Morley Avenue Nogales, AZ 85621",NA,NA,NA,1934,31.338075,-110.936614
2111-02c21-19,799000,"5 Rattlesnake Court Sonoita, AZ 85637",3,2,1,2514,31.655211,-110.611038
2111-02c21-20,659000,"2896 Highway 83 Sonoita, AZ 85637",4,4,NA,3018,31.672253,-110.620339
2111-02c21-21,340000,"1085 Circulo Montosa Rio Rico, AZ 85648",3,2,NA,1818,31.463779,-111.0089
2111-02c21-22,335000,"373 Sonoita Avenue Patagonia, AZ 85624",2,2,NA,922,31.540159,-110.75617
2111-02c21-23,698000,"208 Lyle Canyon Road Elgin, AZ 85611",3,2,1,4198,31.5026,-110.483851
2111-02c21-24,1300000,"Country Home in Elgin Estates on 36 Acres Elgin, AZ 85611",6,4,2,8600,31.686828,-110.555577
2111-02c21-25,320000,"149 Calle Tiburon Rio Rico, AZ 85648",4,2,NA,2200,31.537879,-111.004527
2111-02c21-26,247000,"599 Alcanfor Court Rio Rico, AZ 85648",3,2,NA,1536,31.50834,-111.025924
2111-02c21-27,235000,"495 Camino Hombre De Oro Rio Rico, AZ 85648",2,2,NA,1538,31.485653,-111.030444
2111-02c21-28,540000,"90 Calle Agua Salada Rio Rico, AZ 85648",4,3,NA,3200,31.552258,-111.013031
2111-02c21-29,349900,"1125 Avenida Seville Rio Rico, AZ 85648",3,2,NA,1895,31.465057,-111.002977
2111-02c21-30,205000,"84 Alami Court Rio Rico, AZ 85648",3,2,NA,1512,31.439762,-110.957086
2111-02c21-31,249000,"1983 Calle Iran Rio Rico, AZ 85648",3,2,NA,1467,31.559172,-111.028492
2111-02c21-32,225000,"603 Post Way Tubac, AZ 85646",2,1,1,1008,31.602308,-111.049699
2111-02c21-33,195000,"923 Via Orizaba Rio Rico, AZ 85648",3,2,NA,1177,31.437436,-110.950378
